node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
33,51,179.807832,,8,
33,34,69.232854,ROUTER,9,
33,35,174.627705,,10,
34,42,123.990906,,8,
34,35,106.708627,CLUSTER_HEAD,10,
34,44,144.637556,,11,
35,44,88.288126,REGISTERED,9,
35,53,154.695029,,10,
35,52,183.428355,,10,
35,43,124.288184,,10,
36,37,90.607162,ROOT,0,
36,38,164.052854,,2,
36,45,55.497332,ROUTER,1,
36,46,104.613780,ROUTER,1,
36,55,156.631956,,2,
36,47,212.143863,,2,
37,45,112.843072,ROUTER,1,
37,46,70.272645,ROUTER,1,
37,55,151.984738,,2,
37,39,152.400707,,2,
37,47,150.118885,,2,
37,38,73.537044,REGISTERED,1,
38,45,179.066948,,2,
38,46,106.995943,ROUTER,1,
38,55,180.391573,,2,
38,47,123.027109,,4,
38,39,81.757922,ROUTER,3,
38,48,125.378314,,4,
38,40,160.166117,,4,
39,47,110.533270,CLUSTER_HEAD,2,
39,46,161.511828,,3,
39,56,188.088969,,3,
39,57,152.833123,,3,
39,49,131.337128,,6,
39,48,69.206045,REGISTERED,3,
39,40,84.442968,ROUTER,5,
39,41,168.994553,,6,
40,47,179.111464,,4,
40,49,92.117649,REGISTERED,5,
40,57,172.512819,,6,
40,58,184.189963,,6,
40,50,159.224168,,7,
40,48,117.203990,,4,
40,41,95.041045,CLUSTER_HEAD,6,
40,51,209.343010,,7,
40,42,197.050586,,7,
41,58,145.264099,,6,
41,49,70.967541,REGISTERED,5,
41,57,179.186916,,6,
41,59,177.674542,,6,
41,48,168.785986,,6,
41,60,167.134398,,8,
41,42,110.264535,ROUTER,7,
41,51,114.667276,ROUTER,7,
41,43,191.462234,,8,
41,50,82.141538,REGISTERED,5,
42,50,131.494552,,8,
42,49,174.190420,,7,
42,60,152.965384,,8,
42,43,84.475755,CLUSTER_HEAD,8,
42,51,76.107685,ROUTER,7,
42,44,157.656805,,9,
42,52,156.490105,,9,
43,50,188.755782,,8,
43,60,163.876344,,8,
43,51,109.055028,ROUTER,7,
43,61,177.863639,,10,
43,53,139.874242,,10,
43,62,170.348818,,10,
43,52,95.736053,ROUTER,9,
43,44,73.594658,REGISTERED,9,
44,53,81.474782,REGISTERED,11,
44,52,96.333579,ROUTER,9,
44,62,141.637612,,10,
44,61,178.308096,,10,
44,51,174.166200,,9,
45,46,87.587289,ROUTER,1,
45,55,110.815025,CLUSTER_HEAD,2,
45,47,191.677235,,2,
45,64,188.333470,,3,
45,56,218.784646,,3,
45,54,124.765372,,3,
46,55,82.075000,CLUSTER_HEAD,2,
46,47,108.126823,CLUSTER_HEAD,2,
46,48,159.437812,,3,
46,56,154.941219,,3,
46,64,167.453209,,3,
46,54,162.678036,,3,
46,57,215.344643,,3,
47,55,117.700569,,4,
47,56,81.625594,ROUTER,3,
47,64,159.996738,,4,
47,57,107.368794,ROUTER,3,
47,49,169.847796,,4,
47,66,148.052788,,4,
47,65,150.747193,,4,
47,58,188.146042,,4,
47,48,65.826542,REGISTERED,3,
48,57,85.741582,ROUTER,3,
48,56,127.954100,,4,
48,66,164.568403,,4,
48,58,148.269800,,4,
48,49,107.415084,REGISTERED,5,
48,50,182.034941,,6,
49,57,108.653579,ROUTER,3,
49,56,207.134990,,4,
49,66,200.533399,,4,
49,58,93.373912,CLUSTER_HEAD,4,
49,59,159.012364,,6,
49,51,152.057051,,7,
49,60,174.710220,,6,
49,50,79.733629,REGISTERED,5,
50,51,81.652706,ROUTER,7,
50,58,84.646223,CLUSTER_HEAD,4,
50,57,151.542979,,6,
50,59,95.559438,ROUTER,5,
50,69,199.118412,,6,
50,68,181.652674,,6,
50,60,95.866858,CLUSTER_HEAD,8,
51,58,160.635750,,6,
51,59,124.772373,,9,
51,52,126.984954,,9,
51,60,77.150292,CLUSTER_HEAD,8,
52,71,163.642667,,11,
52,70,165.133705,,10,
52,62,79.922034,CLUSTER_HEAD,10,
52,53,92.112905,REGISTERED,11,
52,61,85.537630,REGISTERED,9,
53,62,80.700365,CLUSTER_HEAD,10,
53,71,165.222473,,11,
53,61,141.994264,,10,
54,55,102.919122,CLUSTER_HEAD,2,
54,56,198.419758,,4,
54,63,75.566063,CLUSTER_HEAD,4,
54,72,134.720210,,5,
54,64,113.514453,REGISTERED,3,
54,65,198.672892,,4,
55,56,113.130538,ROUTER,3,
55,57,206.717320,,4,
55,65,144.723818,,4,
55,63,142.445810,,4,
55,64,86.944995,REGISTERED,3,
55,66,195.300522,,4,
55,72,172.710903,,4,
56,57,106.543238,ROUTER,3,
56,65,69.285072,CLUSTER_HEAD,4,
56,58,185.797297,,4,
56,73,173.489691,,5,
56,74,171.844517,,5,
56,64,103.219049,REGISTERED,3,
56,63,200.140155,,4,
56,72,193.058528,,4,
56,67,188.246103,,6,
56,75,175.325065,,6,
56,66,84.610874,ROUTER,5,
57,64,209.308017,,4,
57,65,151.364446,,4,
57,58,83.639890,CLUSTER_HEAD,4,
57,59,174.094686,,5,
57,67,141.441092,,6,
57,75,168.256949,,6,
57,66,94.337630,ROUTER,5,
58,66,142.095915,,4,
58,59,91.742737,ROUTER,5,
58,60,137.714946,,6,
58,69,188.365769,,6,
58,68,136.991174,,6,
59,67,136.839951,,8,
59,69,106.052346,CLUSTER_HEAD,6,
59,76,161.660235,,8,
59,77,151.964559,,8,
59,78,181.055118,,7,
59,79,209.767228,,7,
59,68,92.656833,REGISTERED,7,
59,60,62.960099,CLUSTER_HEAD,8,
60,69,124.154636,,6,
60,68,146.265989,,6,
61,62,70.971713,CLUSTER_HEAD,10,
61,71,100.978395,REGISTERED,9,
61,70,80.393758,CLUSTER_HEAD,8,
61,79,138.801791,,9,
62,71,92.062042,REGISTERED,9,
62,70,122.725547,,10,
63,72,63.169138,REGISTERED,5,
63,73,149.385005,,6,
63,64,97.231678,REGISTERED,3,
63,65,174.026648,,4,
64,65,85.401596,CLUSTER_HEAD,4,
64,73,121.303909,,5,
64,74,176.226520,,5,
64,66,158.440595,,5,
64,72,97.364756,REGISTERED,5,
65,73,106.633033,REGISTERED,5,
65,72,146.824786,,6,
65,67,175.916382,,6,
65,75,139.878205,,6,
65,66,77.470952,ROUTER,5,
65,74,109.258487,REGISTERED,5,
66,74,119.486107,,5,
66,73,166.877477,,5,
66,76,144.311696,,8,
66,68,186.978721,,8,
66,75,93.446947,CLUSTER_HEAD,6,
66,67,105.798805,REGISTERED,7,
67,75,65.148672,CLUSTER_HEAD,6,
67,76,51.030360,REGISTERED,7,
67,77,132.662039,,8,
67,68,83.793156,REGISTERED,7,
67,69,166.085621,,8,
67,74,150.798426,,7,
68,69,82.398700,CLUSTER_HEAD,6,
68,77,69.457999,REGISTERED,7,
68,78,120.791619,,8,
68,79,183.901833,,7,
68,76,80.626738,REGISTERED,7,
68,75,139.339302,,8,
