clusterhead_1,clusterhead_2,distance
18,49,226.008132
18,53,464.285640
18,55,376.114199
18,57,289.202921
18,60,694.915150
18,61,656.589058
18,62,578.701875
18,64,476.430884
18,66,413.760157
18,68,399.831873
18,69,397.408877
18,70,716.309671
18,74,528.618656
18,77,481.620771
18,80,759.020444
18,81,723.984386
18,82,708.989593
18,84,597.628135
18,86,538.920109
18,89,535.294778
18,91,775.536153
18,92,714.801458
18,93,683.881854
18,94,635.381111
18,95,631.538175
19,20,644.080816
19,21,575.064004
19,23,433.407660
19,30,653.492667
19,32,501.302749
19,34,354.886597
19,36,230.902274
19,40,657.165409
19,41,607.930855
19,43,493.830415
19,45,349.291173
19,47,243.970152
19,49,200.434040
19,53,489.799995
19,55,392.868974
19,57,287.895910
19,60,722.649695
19,61,683.124148
19,62,600.391072
19,64,490.339622
19,66,416.143369
19,68,386.080563
19,69,375.194710
19,70,741.663913
19,74,542.624702
19,77,475.066859
19,80,781.460970
19,81,744.046499
19,82,725.326591
19,84,606.075895
19,86,536.287196
19,89,516.535091
19,91,791.793193
19,92,728.020298
19,93,694.844659
19,94,641.382400
19,95,634.347298
20,21,69.131015
20,23,210.857237
20,30,51.650632
20,32,174.323392
20,34,306.394142
20,36,449.776609
20,40,135.667127
20,41,129.200591
20,43,242.865702
20,45,383.146773
20,47,518.658136
20,49,695.520863
20,53,295.301138
20,55,416.546669
20,57,568.831515
20,60,281.422083
20,61,287.560941
20,62,348.730408
20,64,441.145425
20,66,553.928722
20,68,692.536846
20,69,762.075538
20,70,335.623333
20,74,447.542602
20,77,662.463355
20,80,409.625877
20,81,429.382757
20,82,480.178499
20,84,540.637738
20,86,647.033951
20,89,813.991471
20,91,518.825446
20,92,529.876962
20,93,546.137015
20,94,589.082933
20,95,627.737632
21,23,142.129003
21,30,89.923017
21,32,117.150510
21,34,238.897841
21,36,381.933739
21,40,148.386385
21,41,118.033856
21,43,194.631514
21,45,321.178367
21,47,453.307128
21,49,628.516441
21,53,249.561609
21,55,360.468183
21,57,506.147060
21,60,291.362433
21,61,286.374956
21,62,324.226161
21,64,396.637150
21,66,500.171187
21,68,633.753537
21,69,700.792350
21,70,342.529590
21,74,409.770321
21,77,610.707306
21,80,415.340884
21,81,425.498442
21,82,468.002706
21,84,507.058071
21,86,601.046139
21,89,759.347356
21,91,513.771188
21,92,513.753279
21,93,523.917189
21,94,557.057062
21,95,592.616297
23,30,225.810041
23,32,112.563529
23,34,119.081125
23,36,252.550551
23,40,253.723446
23,41,206.437543
23,43,174.889600
23,45,223.463918
23,47,334.464343
23,49,500.228117
23,53,221.332714
23,55,281.978415
23,57,396.516621
23,60,370.047589
23,61,348.126674
23,62,336.350098
23,64,350.972469
23,66,420.662062
23,68,534.496795
23,69,592.408614
23,70,411.504539
23,74,381.056381
23,77,533.221662
23,80,476.804220
23,81,469.141049
23,82,492.751249
23,84,482.070576
23,86,539.975131
23,89,670.286579
23,91,549.940143
23,92,527.710686
23,93,524.246597
23,94,533.250416
23,95,559.783421
30,32,162.178130
30,34,305.468633
30,36,448.182552
30,40,84.970753
30,41,88.396790
30,43,217.858349
30,45,369.763163
30,47,509.878223
30,49,689.875921
30,53,266.476225
30,55,395.133588
30,57,554.791064
30,60,229.909681
30,61,237.525525
30,62,305.782876
30,64,408.932054
30,66,528.766138
30,68,672.273077
30,69,744.953528
30,70,284.229046
30,74,410.646051
30,77,634.740756
30,80,358.218494
30,81,379.228755
30,82,431.791268
30,84,500.620361
30,86,614.503338
30,89,788.536748
30,91,468.675994
30,92,482.483175
30,93,500.825286
30,94,547.999620
30,95,588.151085
32,34,147.195070
32,36,287.578699
32,40,156.920297
32,41,107.337172
32,43,81.713133
32,45,209.336117
32,47,347.856620
32,49,527.714202
32,53,136.763149
32,55,243.721398
32,57,395.042221
32,60,258.561115
32,61,235.563511
32,62,233.378767
32,64,282.441895
32,66,383.067157
32,68,518.543162
32,69,587.775753
32,70,298.985012
32,74,300.581579
32,77,493.572207
32,80,364.461786
32,81,358.992693
32,82,387.618897
32,84,400.371991
32,86,485.281509
32,89,642.448285
32,91,441.991386
32,92,426.719864
32,93,429.082395
32,94,451.265394
32,95,483.775763
34,36,143.476861
34,40,302.285507
34,41,253.122440
34,43,148.885739
34,45,108.784626
34,47,217.386770
34,49,389.659857
34,53,167.836988
34,55,174.819882
34,57,277.564709
34,60,379.680230
34,61,345.700832
34,62,293.869796
34,64,260.989321
34,66,307.774404
34,68,415.629252
34,69,473.579696
34,70,408.485001
34,74,301.083506
34,77,419.506842
34,80,462.052858
34,81,439.624285
34,82,446.100094
34,84,398.607325
34,86,433.160950
34,89,552.572554
34,91,509.396423
34,92,470.577200
34,93,456.936112
34,94,448.477168
34,95,468.308977
36,40,437.805118
36,41,389.945802
36,43,266.292479
36,45,119.486276
36,47,93.752375
36,49,247.887382
36,53,258.933885
36,55,173.637995
36,57,166.608405
36,60,492.491738
36,61,452.401842
36,62,371.314277
36,64,276.882590
36,66,251.040450
36,68,310.755759
36,69,352.920308
36,70,510.764188
36,74,328.091183
36,77,348.565814
36,80,551.765108
36,81,516.779206
36,82,504.200767
36,84,407.361046
36,86,385.654817
36,89,455.072991
36,91,570.646817
36,92,513.890005
36,93,487.028323
36,94,450.487309
36,95,455.779118
40,41,49.590048
40,43,179.799002
40,45,342.387755
40,47,486.070832
40,49,668.343256
40,53,217.052724
40,55,353.179503
40,57,521.459773
40,60,146.713513
40,61,152.624678
40,62,229.497784
40,64,348.392711
40,66,477.702380
40,68,627.324140
40,69,704.330525
40,70,200.367588
40,74,342.430000
40,77,578.378521
40,80,274.336670
40,81,294.267491
40,82,347.765067
40,84,426.716196
40,86,550.896701
40,89,734.539543
40,91,383.711090
40,92,399.281562
40,93,419.847265
40,94,472.311626
40,95,514.342538
41,43,137.885638
41,45,298.167086
41,47,441.347451
41,49,623.355201
41,53,181.659699
41,55,314.724205
41,57,479.951903
41,60,175.231863
41,61,168.382450
41,62,219.575543
41,64,321.386275
41,66,444.522333
41,68,591.089353
41,69,666.152856
41,70,225.031071
41,74,322.250461
41,77,548.712306
41,80,297.453063
41,81,308.266547
41,82,354.056409
41,84,412.829736
41,86,526.610916
41,89,703.502163
41,91,397.031910
41,92,402.259573
41,93,417.130693
41,94,460.686845
41,95,500.248283
43,45,163.050851
43,47,306.802477
43,49,489.093319
43,53,55.285518
43,55,177.582420
43,57,342.280250
43,60,231.495994
43,61,196.830379
43,62,161.708288
43,64,202.062298
43,66,311.626644
43,68,454.626545
43,69,528.599907
43,70,259.811612
43,74,218.882487
43,77,419.597986
43,80,315.966790
43,81,299.635880
43,82,318.298115
43,84,318.859948
43,86,406.579808
43,89,571.706816
43,91,376.956483
43,92,352.930415
43,93,351.375742
43,94,369.845284
43,95,402.062709
45,47,143.760663
45,49,326.061785
45,53,143.440299
45,55,70.945123
45,57,185.727728
45,60,378.445707
45,61,336.651710
45,62,251.832109
45,64,170.404947
45,66,199.004927
45,68,314.519958
45,69,379.614555
45,70,393.298725
45,74,218.269058
45,77,310.929895
45,80,432.434853
45,81,397.461335
45,82,387.377328
45,84,307.703882
45,86,325.439838
45,89,447.249037
45,91,453.546580
45,92,400.997213
45,93,378.568952
45,94,355.158967
45,95,369.418032
47,49,182.302673
47,53,282.688310
47,55,159.562009
47,57,73.594648
47,60,515.538677
47,61,471.827127
47,62,373.738493
