source_id,target_id,distance
0,1,76.294518
0,2,171.758580
0,3,268.728332
0,4,338.772003
0,5,445.113890
0,6,545.993549
0,7,592.930039
0,8,688.011890
0,9,104.069372
0,10,131.883392
0,11,172.781687
0,12,305.026002
0,13,384.295523
0,14,449.164104
0,15,551.808693
0,16,609.814039
0,17,699.063907
0,18,168.815730
0,19,200.447224
0,20,267.652635
0,21,334.573590
0,22,404.454960
0,23,505.740661
0,24,567.921334
0,25,674.754178
0,26,728.918332
0,27,270.537629
0,28,257.856978
0,29,335.130075
0,30,386.959053
0,31,468.042527
0,32,556.499459
0,33,594.214177
0,34,696.887939
0,35,769.698373
0,36,334.726074
0,37,377.610372
0,38,380.783280
0,39,469.318194
0,40,528.188257
0,41,598.149741
0,42,627.290119
0,43,718.447534
0,44,793.538174
0,45,407.123349
0,46,450.946164
0,47,493.343376
0,48,499.227491
0,49,592.854211
0,50,641.116535
0,51,718.741022
0,52,805.295581
0,53,854.562785
0,54,534.991833
0,55,536.174651
0,56,550.831733
0,57,592.548282
0,58,668.130803
0,59,697.587868
0,60,782.772049
0,61,824.420855
0,62,914.543624
0,63,618.157781
0,64,622.517441
0,65,624.699799
0,66,687.514673
0,67,710.006142
0,68,797.358890
0,69,822.046722
0,70,916.147216
0,71,988.037418
0,72,709.179631
0,73,694.968498
0,74,739.942172
0,75,750.159902
0,76,816.123735
0,77,829.747654
0,78,908.109485
0,79,972.809218
1,2,97.771009
1,3,193.891422
1,4,264.048466
1,5,369.283638
1,6,470.054404
1,7,517.810223
1,8,612.401960
1,9,115.733669
1,10,78.345664
1,11,99.993824
1,12,230.341962
1,13,308.841582
1,14,372.988321
1,15,475.516426
1,16,533.523953
1,17,622.781150
1,18,166.360947
1,19,170.981617
1,20,205.333236
1,21,267.637471
1,22,333.170617
1,23,431.977716
1,24,493.074865
1,25,599.488631
1,26,653.360391
1,27,269.433458
1,28,230.639329
1,29,285.038302
1,30,327.774133
1,31,403.086454
1,32,486.682262
1,33,522.982033
1,34,623.689853
1,35,694.805173
1,36,321.673356
1,37,348.980102
1,38,336.898884
1,39,414.223700
1,40,466.690482
1,41,533.754567
1,42,558.766620
1,43,648.144705
1,44,721.840216
1,45,393.638844
1,46,423.494846
1,47,456.288514
1,48,451.181959
1,49,536.301674
1,50,579.187607
1,51,652.349232
1,52,737.902900
1,53,784.071744
1,54,521.153706
1,55,510.157994
1,56,517.526999
1,57,548.942257
1,58,616.989027
1,59,638.663149
1,60,720.184255
1,61,759.246598
1,62,848.200603
1,63,603.425875
1,64,600.906772
1,65,593.181752
1,66,646.709438
1,67,659.872646
1,68,743.871000
1,69,763.635133
1,70,853.945150
1,71,922.902409
1,72,696.630989
1,73,669.534165
1,74,707.030371
1,75,712.439869
1,76,769.824728
1,77,778.533239
1,78,852.147070
1,79,914.677265
2,3,97.053699
2,4,167.018826
2,5,274.344544
2,6,375.366391
2,7,421.222872
2,8,516.641615
2,9,198.871301
2,10,116.224174
2,11,70.788673
2,12,156.827534
2,13,227.556101
2,14,284.981234
2,15,384.597493
2,16,441.676668
2,17,531.882320
2,18,231.490001
2,19,207.740569
2,20,177.544825
2,21,219.994486
2,22,268.498645
2,23,356.169140
2,24,412.179067
2,25,515.986739
2,26,568.198743
2,27,324.578453
2,28,260.587014
2,29,273.548758
2,30,294.773705
2,31,353.300234
2,32,422.338350
2,33,454.087487
2,34,547.801414
2,35,612.483177
2,36,360.503855
2,37,366.471532
2,38,332.162590
2,39,385.179937
2,40,422.759687
2,41,481.877835
2,42,496.664180
2,43,580.426387
2,44,649.773277
2,45,428.044855
2,46,438.735565
2,47,456.329809
2,48,433.602066
2,49,500.636688
2,50,531.836650
2,51,594.171593
2,52,676.581655
2,53,714.865186
2,54,550.609084
2,55,524.219668
2,56,521.092586
2,57,535.781056
2,58,589.579631
2,59,596.435223
2,60,669.524079
2,61,702.723169
2,62,788.445003
2,63,629.800373
2,64,618.529214
2,65,597.361948
2,66,635.860314
2,67,633.459868
2,68,710.349291
2,69,720.799021
2,70,802.865193
2,71,865.306292
2,72,724.011909
2,73,680.673143
2,74,707.013626
2,75,705.209648
2,76,748.265426
2,77,748.589260
2,78,813.014057
2,79,871.029558
3,4,70.157079
3,5,177.830399
3,6,278.802559
3,7,324.202537
3,8,419.627050
3,9,284.204529
3,10,191.003461
3,11,127.897665
3,12,104.613132
3,13,150.065505
3,14,195.463666
3,15,290.798810
3,16,346.858828
3,17,437.524380
3,18,303.500251
3,19,262.745581
3,20,182.172034
3,21,191.376566
3,22,211.003546
3,23,279.427991
3,24,328.281597
3,25,428.205000
3,26,478.526652
3,27,383.191452
3,28,303.812452
3,29,277.474899
3,30,273.285073
3,31,307.717659
3,32,356.783987
3,33,382.558972
3,34,467.278250
3,35,525.160237
3,36,403.460717
3,37,389.928405
3,38,336.879821
3,39,360.799263
3,40,380.119346
3,41,428.309458
3,42,431.570416
3,43,507.869179
3,44,572.035102
3,45,463.739122
3,46,456.103015
3,47,458.109355
3,48,418.635515
3,49,463.898646
3,50,481.733206
3,51,531.312853
3,52,609.325354
3,53,639.373631
3,54,577.421497
3,55,537.075535
3,56,523.789237
3,57,521.220519
3,58,558.863637
3,59,550.187777
3,60,613.226615
3,61,640.005586
3,62,721.613554
3,63,651.681542
3,64,632.178259
3,65,598.352739
3,66,620.881513
3,67,602.732501
3,68,670.907324
3,69,671.727447
3,70,744.501549
3,71,799.968100
3,72,745.050193
3,73,686.600152
3,74,701.377654
3,75,692.409350
3,76,720.314941
3,77,712.172119
3,78,766.486262
3,79,819.387606
4,5,110.637326
4,6,210.768974
4,7,254.247557
4,8,350.165105
4,9,351.656924
4,10,256.854624
4,11,192.805160
4,12,119.219935
4,13,121.079053
4,14,142.122111
4,15,227.709310
4,16,281.697829
4,17,372.628386
4,18,365.961417
4,19,319.269764
4,20,220.082939
4,21,206.039432
4,22,197.382383
4,23,239.377854
4,24,277.998033
4,25,371.688422
4,26,419.366450
4,27,438.385816
4,28,353.467578
4,29,306.486851
4,30,285.156022
4,31,297.720497
4,32,325.768021
4,33,344.695734
4,34,418.422772
4,35,468.384381
4,36,450.236045
4,37,425.980759
4,38,363.256060
4,39,365.594750
4,40,369.362567
4,41,406.450582
4,42,398.920870
4,43,466.599852
4,44,524.926173
4,45,505.234427
4,46,486.685976
4,47,478.453481
4,48,428.331828
4,49,455.464994
4,50,461.634607
4,51,498.902751
4,52,571.875277
4,53,593.901146
4,54,611.736668
4,55,563.108040
4,56,543.281830
4,57,528.559538
4,58,553.201306
4,59,532.058137
4,60,585.556417
4,61,606.357979
4,62,683.556925
4,63,681.930771
4,64,657.288050
4,65,615.372472
4,66,626.154914
4,67,596.328812
4,68,656.645150
4,69,649.542495
4,70,713.722415
4,71,762.710677
4,72,773.801330
4,73,705.838888
4,74,712.362039
4,75,698.326070
4,76,714.538677
4,77,699.860490
4,78,745.477802
4,79,793.730245
5,6,101.023361
5,7,151.381402
5,8,243.321844
5,9,446.259909
5,10,350.186397
5,11,287.132533
5,12,173.558682
5,13,113.968858
5,14,67.724068
5,15,119.273063
5,16,171.299359
5,17,262.202594
5,18,450.142137
5,19,394.919588
5,20,277.308741
5,21,234.717177
5,22,185.418237
5,23,171.078707
5,24,187.277547
5,25,268.733673
5,26,312.963910
5,27,507.874352
5,28,416.868394
5,29,342.133258
5,30,297.579812
5,31,274.350211
5,32,264.563819
5,33,270.769124
5,34,324.787853
5,35,364.093614
5,36,505.302182
5,37,464.848734
5,38,390.617456
5,39,359.479647
5,40,338.213238
5,41,355.057678
5,42,330.614388
5,43,382.732611
5,44,431.816313
5,45,549.949725
5,46,514.437345
5,47,490.322450
5,48,425.873581
5,49,422.981736
5,50,410.437890
5,51,427.373190
5,52,491.336332
5,53,502.076867
5,54,641.855030
5,55,581.044323
5,56,551.386620
5,57,517.929781
5,58,521.289593
5,59,481.411047
5,60,519.010234
5,61,530.660322
5,62,600.605165
5,63,703.856559
5,64,671.333715
5,65,617.416645
5,66,609.300802
5,67,561.994886
5,68,608.780417
5,69,589.875760
5,70,640.526149
5,71,680.035232
5,72,791.646768
5,73,709.382304
5,74,702.589007
5,75,680.831575
5,76,678.523382
5,77,654.121284
5,78,685.977991
5,79,726.861271
6,7,63.242407
6,8,143.804564
6,9,543.758630
6,10,447.889902
6,11,385.729669
6,12,264.498720
6,13,191.062463
6,14,119.175812
6,15,53.374353
6,16,78.584839
6,17,166.512971
6,18,543.309569
6,19,484.939292
6,20,362.369002
6,21,308.615283
6,22,241.227827
6,23,176.177399
6,24,152.157096
6,25,196.180626
6,26,229.896598
6,27,593.013086
6,28,500.355780
6,29,412.527767
6,30,356.014841
6,31,307.557887
6,32,260.142582
6,33,248.964713
6,34,267.279940
6,35,284.438969
6,36,582.205418
6,37,532.583856
6,38,453.472529
6,39,399.565975
6,40,358.023527
6,41,352.773200
6,42,310.227463
6,43,337.455244
6,44,370.362843
6,45,619.452981
6,46,573.209135
6,47,538.148808
6,48,465.097864
6,49,435.747753
6,50,404.641482
6,51,396.635490
6,52,446.232529
6,53,440.640945
6,54,699.468515
6,55,630.858351
6,56,594.343812
6,57,546.432491
6,58,530.145737
6,59,472.665305
6,60,490.707568
6,61,490.682928
6,62,549.479099
6,63,754.247751
6,64,716.162992
6,65,653.705545
6,66,629.450703
6,67,567.074088
6,68,598.683953
6,69,567.413497
6,70,600.976219
6,71,627.866598
6,72,837.518930
6,73,744.957639
6,74,726.884252
6,75,698.666235
6,76,678.820305
6,77,645.108681
6,78,661.453720
6,79,693.220311
7,8,98.074348
7,9,597.623991
7,10,501.548496
7,11,438.361271
7,12,322.342832
7,13,251.995929
7,14,181.447378
7,15,106.105388
7,16,94.037849
7,17,157.337342
7,18,600.600224
7,19,543.762352
7,20,422.675679
7,21,370.912583
7,22,304.457677
7,23,235.588174
7,24,201.190509
7,25,216.927360
7,26,236.659634
7,27,653.699366
7,28,561.375001
7,29,475.420947
7,30,419.253334
7,31,369.101172
7,32,314.387820
7,33,297.548254
7,34,295.727850
7,35,292.309830
7,36,644.591812
7,37,595.732577
7,38,516.710941
7,39,461.458213
7,40,416.745168
7,41,405.611691
7,42,357.349021
7,43,371.225596
7,44,392.058229
7,45,682.556525
7,46,636.363715
7,47,600.553239
7,48,526.622025
7,49,491.985641
7,50,455.449043
7,51,436.932238
7,52,477.516350
7,53,460.682873
7,54,762.513088
7,55,693.335430
7,56,656.046908
7,57,605.741963
7,58,584.483261
7,59,521.476325
7,60,530.636747
7,61,524.295180
7,62,575.244818
7,63,816.660302
7,64,777.925459
7,65,714.203170
7,66,686.434678
7,67,619.952308
7,68,645.730636
7,69,609.283027
7,70,633.446917
7,71,652.011794
7,72,899.287625
7,73,805.124558
7,74,784.586297
7,75,754.748887
7,76,729.350595
7,77,692.254199
7,78,701.485899
7,79,728.230616
8,9,687.552100
8,10,591.694388
8,11,529.464593
8,12,407.478384
8,13,331.588710
8,14,258.330857
8,15,159.104514
8,16,108.575427
8,17,99.709325
8,18,686.095692
8,19,626.618261
8,20,502.591789
8,21,444.401189
8,22,370.370059
8,23,281.070991
8,24,226.314845
8,25,191.512662
8,26,186.772129
8,27,731.790079
8,28,638.704111
8,29,544.030468
8,30,481.154503
8,31,416.701663
8,32,340.338686
8,33,311.611425
8,34,272.864755
8,35,238.194735
8,36,715.828957
8,37,660.218991
8,38,578.945877
8,39,508.828587
8,40,451.520785
8,41,423.744706
8,42,364.523866
8,43,352.084683
8,44,352.015030
8,45,747.334398
8,46,693.118195
8,47,649.361251
8,48,570.847913
8,49,516.834869
8,50,466.878093
8,51,426.683938
8,52,449.556355
8,53,415.408823
8,54,816.476307
8,55,741.859709
8,56,699.696696
8,57,638.901777
8,58,601.935356
8,59,526.361938
8,60,516.705298
8,61,498.960621
8,62,535.674942
8,63,863.828442
8,64,820.909757
8,65,751.121270
8,66,710.330446
8,67,632.828584
8,68,644.074208
8,69,597.378921
8,70,603.727419
8,71,608.508893
8,72,941.560712
8,73,839.783402
8,74,809.861861
8,75,775.009574
8,76,734.647102
8,77,690.093968
8,78,684.406014
8,79,701.459278
9,10,96.075611
9,11,159.707550
9,12,282.887332
9,13,363.132603
9,14,434.486846
9,15,539.412331
9,16,598.267875
9,17,683.609404
9,18,65.144918
9,19,110.299729
9,20,212.520161
9,21,284.017794
9,22,362.548091
9,23,470.430473
9,24,537.232208
9,25,645.334858
9,26,701.296520
9,27,166.683629
9,28,161.431114
9,29,256.004809
9,30,318.475013
9,31,407.518163
9,32,505.754239
9,33,547.140675
9,34,655.700217
9,35,736.567663
9,36,231.127367
9,37,278.838900
9,38,293.134283
9,39,392.199709
9,40,459.641449
9,41,533.763422
9,42,571.793460
9,43,666.709776
9,44,745.525800
9,45,303.342256
9,46,350.788888
9,47,398.078021
9,48,413.156264
9,49,515.546682
9,50,571.519613
9,51,656.980271
9,52,744.992433
9,53,802.111032
9,54,431.061849
9,55,434.911132
9,56,452.779001
9,57,501.195110
9,58,583.308364
9,59,622.483616
9,60,712.870470
9,61,759.100702
9,62,851.054078
9,63,514.236732
9,64,519.668178
9,65,525.323665
9,66,593.300408
9,67,623.763858
9,68,714.221494
9,69,745.162799
9,70,844.641764
9,71,921.588243
9,72,605.119009
9,73,592.996698
9,74,640.790324
9,75,653.596529
9,76,725.582945
9,77,743.878254
9,78,827.379090
9,79,894.679790
10,11,64.100943
10,12,188.919903
10,13,269.644363
10,14,339.933850
10,15,444.787229
10,16,503.631211
10,17,589.936851
10,18,115.685974
10,19,97.890408
10,20,135.889704
10,21,204.119624
10,22,277.607442
10,23,382.767098
10,24,447.871875
10,25,555.827491
10,26,611.253379
10,27,209.457362
10,28,156.167541
10,29,207.860008
10,30,255.441384
10,31,336.386345
10,32,427.132608
10,33,466.215946
10,34,571.644850
10,35,648.798542
10,36,252.002357
10,37,272.384492
10,38,258.686138
10,39,339.443097
10,40,396.393070
10,41,466.326736
10,42,496.809993
10,43,589.161622
10,44,665.647376
10,45,322.516051
10,46,346.814866
10,47,378.005736
10,48,373.833429
10,49,462.489325
10,50,509.310413
10,51,587.243831
10,52,674.084212
10,53,725.263456
10,54,448.714658
10,55,433.534344
10,56,439.518364
10,57,470.892686
10,58,540.758557
10,59,566.440551
10,60,650.929727
10,61,692.635961
10,62,782.957062
10,63,530.187805
10,64,525.246654
10,65,515.322372
10,66,568.447403
10,67,583.336784
10,68,668.668505
10,69,691.126492
10,70,784.360666
10,71,856.224035
10,72,623.932726
10,73,592.704875
10,74,628.925913
10,75,634.094227
10,76,692.348631
10,77,702.443858
10,78,778.212757
10,79,842.042964
11,12,132.754280
11,13,212.955516
11,14,280.797640
11,15,385.150087
11,16,443.843737
11,17,531.421714
11,18,175.780193
11,19,141.064092
11,20,114.354975
11,21,169.717029
11,22,233.176793
11,23,332.970030
11,24,395.419210
11,25,502.611576
11,26,557.211250
11,27,260.607961
11,28,191.033689
11,29,206.389442
11,30,236.346268
11,31,305.645961
11,32,386.800996
11,33,422.996613
11,34,524.298276
11,35,597.161203
11,36,291.469324
11,37,295.706989
11,38,263.898200
11,39,325.608591
11,40,371.514205
11,41,436.206341
11,42,459.173217
11,43,548.169917
11,44,621.924798
11,45,357.997678
11,46,368.146450
11,47,387.718803
11,48,369.670820
11,49,444.951695
11,50,483.175432
11,51,553.509777
11,52,638.586504
11,53,684.081128
11,54,479.944932
11,55,453.833193
11,56,452.033333
11,57,470.823216
11,58,530.193775
11,59,544.732771
11,60,623.378039
11,61,660.891266
11,62,749.237160
11,63,559.017619
11,64,547.977086
11,65,528.364869
11,66,570.482815
11,67,573.759287
11,68,654.146301
11,69,669.713239
11,70,757.182325
11,71,824.440514
